site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Prime Head,PRIM,48.1,-57.304999999999986,-63.21289999999945,gentoo penguin,30,12,2016,2016,565,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Principal Point,PRIN,48.1,-63.43099999999998,-64.91209999999965,gentoo penguin,21,1,2013,2012,567,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Point Thomas,PTHO,48.1,-58.46149999999999,-62.163099999999254,gentoo penguin,,1,2003,2002,50,1,nests,ground,<strong>Barbosa  A.  and H. J. Lynch  </strong><i> ???? </i> Personal communication between Adres Barbosa and Heather Lynch. personal communication.
Point Wordie,PTWD,48.1,-55.32799999999999,-61.244999999999024,gentoo penguin,,,2013,2013,1242,1,nests,ground,<strong>Petry  M.V.  F.C.L. Valls  E.S. Petersen  J.V.G. Finger  and L. Kr&uuml;ger. </strong><i> 2018</i>. Population trends of seabirds at Stinker Point  Elephant Island  Maritime Antarctica. Antarctic Science doi: 10.1017/S0954102018000135.
Py Point,PYPT,48.1,-63.597399999999986,-64.87919999999967,gentoo penguin,27,1,2010,2009,2355,3,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Quinton Point (north),QPTN,48.1,-63.66699999999999,-64.3169999999996,gentoo penguin,27,12,1983,1983,42,1,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Rip Point,RIPP,48.1,-59.00099999999999,-62.23499999999925,gentoo penguin,21,1,1966,1965,10000,5,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Robert Point (Robert Island),ROBE,48.1,-59.38299999999999,-62.44999999999932,gentoo penguin,15,12,2016,2016,917,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Ronge Island East,RONE,48.1,-62.64359999999998,-64.68839999999966,gentoo penguin,24,1,2018,2017,431,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
San Eliado Point,SANE,48.1,-63.11659999999998,-64.84399999999965,gentoo penguin,13,12,2010,2010,245,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Saxum Nunatak,SAXU,48.1,-56.053299999999986,-63.136699999999436,gentoo penguin,22,12,2005,2005,540,4,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Selvick Cove,SELV,48.1,-62.56909999999999,-64.64049999999965,gentoo penguin,1,1,2018,2017,618,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Cape Shirreff,SHIR,48.1,-60.787399999999984,-62.45749999999932,gentoo penguin,18,11,2010,2010,834,1,nests,ground,<strong>Antarctic Ecosystem Research Group  </strong><i> 2014c</i>. AMLR 2010-2011 Field Season Report. Technical report  National Oceanic & Atmospheric Administration  La Jolla  United States. 
Skottsberg Point,SKOT,48.1,-60.80889999999998,-63.92049999999955,gentoo penguin,24,12,2017,2017,382,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Spigot Peak Point,SPIP,48.1,-62.55799999999999,-64.62499999999964,gentoo penguin,21,12,2016,2016,1,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Spigot Peak Tripod,SPTR,48.1,-62.56219999999998,-64.63579999999963,gentoo penguin,21,1,2018,2017,11,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
