site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Coffer Island,COFF,48.2,-45.137999999999984,-60.741999999998875,chinstrap penguin,31,12,1983,1983,2100,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Cone Island,CONE,48.1,-69.15309999999998,-67.67489999999985,chinstrap penguin,11,1,2013,2012,2,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Confusion Island,CONF,48.2,-45.63599999999999,-60.737999999998884,chinstrap penguin,13,2,1979,1978,7736,1,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Cape Conway,CONW,48.1,-61.42239999999999,-62.841499999999385,chinstrap penguin,8,2,1987,1986,400,3,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Cornwall Island,CORI,48.1,-59.70899999999999,-62.34259999999929,chinstrap penguin,,,1987,1987,110,3,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Cieslak Point (west),CPTW,48.1,-58.688999999999986,-62.011999999999226,chinstrap penguin,,,1980,1980,280,2,nests,ground,<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30.
Crab Beach,CRAB,48.1,-55.16999999999999,-61.245999999999036,chinstrap penguin,18,1,1971,1970,4150,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Near Craggy Point (Sugarloaf Island),CRAG,48.1,-54.18599999999999,-61.30199999999904,chinstrap penguin,21,1,1977,1976,1200,5,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Cresta Run Bay,CRBA,48.1,-55.35899999999998,-61.23599999999901,chinstrap penguin,18,1,1971,1970,815,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Cape Robertson,CROB,48.2,-44.839999999999996,-60.71399999999888,chinstrap penguin,28,12,1983,1983,32000,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
